Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG ,,,,,,,,,,,
Forecast Horizon,Q3 2019,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,16-Apr-2018,18-Jul-2018,15-Oct-2018,17-Jan-2019,04-Apr-2019,17-Jul-2019,17-Oct-2019,,,,,
Median,0.5,0.5,0.4,0.4,0.4,0.2,-0.1,,,,,
Mean,0.4,0.5,0.4,0.4,0.4,0.2,-0.1,,,,,
Mode,0.5,0.5,0.4,0.4,0.4,0.2,-0.1,,,,,
Min,0.3,0.3,0.3,0.3,0.2,-0.2,-0.3,,,,,
Max,0.5,0.5,0.6,0.6,0.5,0.3,0.1,,,,,
Standard Deviation,--,--,--,--,--,--,0.1,,,,,
# Forecasts,--,--,--,--,--,--,18,,,,,
Contributor,16-Apr-2018,18-Jul-2018,15-Oct-2018,17-Jan-2019,04-Apr-2019,17-Jul-2019,17-Oct-2019,,,,,
BMO,--,--,0.5,--,--,--,--,,,,,
Barclays,0.5,0.5,0.4,0.6,0.4,0.1,-0.1,,,,,
BayernLB,0.5,0.5,--,--,--,--,--,,,,,
Berenberg,0.5,0.5,0.4,0.4,0.4,--,-0.1,,,,,
Berliner Spark,0.4,0.3,0.3,0.4,0.5,--,-0.1,,,,,
CA CIB,--,0.5,0.4,0.4,--,--,--,,,,,
Capital Econ,--,--,--,--,--,--,-0.1,,,,,
Citigroup,--,--,0.6,0.4,0.3,0.2,-0.2,,,,,
Commerzbank UK,--,0.5,--,--,--,0.1,--,,,,,
DIW Berlin,0.4,0.4,0.4,--,--,--,--,,,,,
DZ Bank,0.5,0.5,0.3,0.3,--,0.2,--,,,,,
Daiwa Cap Mkts,--,0.4,--,0.3,0.3,0.2,-0.1,,,,,
DekaBank,--,0.4,0.4,--,--,--,--,,,,,
Deutsche Bank,--,--,--,0.4,--,--,-0.3,,,,,
Eurozone Advisor,0.4,--,0.4,0.4,0.4,0.3,-0.1,,,,,
Fitch Rating,--,--,--,--,--,0.3,-0.1,,,,,
HSBC Hldg,--,--,--,0.4,0.4,-0.2,-0.1,,,,,
Helaba,0.5,0.5,0.5,0.6,--,0.3,0.0,,,,,
IHS Markit,0.4,0.4,0.3,0.3,0.2,0.2,-0.3,,,,,
IMK,--,--,--,--,--,--,-0.1,,,,,
ING Fin Mkts,--,--,--,0.5,--,--,--,,,,,
Julius Baer,0.3,--,0.4,--,0.5,--,0.0,,,,,
LBBW,--,0.5,0.5,0.3,--,0.2,--,,,,,
NORD/LB,0.5,0.5,0.4,0.4,--,0.2,-0.1,,,,,
Nomura,--,--,--,0.4,--,--,--,,,,,
Postbank,--,--,0.4,0.4,0.3,--,-0.3,,,,,
Rheinisch Westfa,0.5,0.4,0.4,--,--,--,--,,,,,
Societe Generale,--,--,0.5,--,--,--,--,,,,,
Uni Credit,0.4,--,0.4,--,0.3,0.2,0.1,,,,,
WH,0.4,0.4,0.4,0.4,0.4,0.2,-0.1,,,,,
,,,,,,,,,,,,
